Brand,w/c.,value,Volume,Distribution
All others 250/300/330 can 6 pk,05/03/2017,190617,102366,95
All others 250/300/330 can 6 pk,12/03/2017,187859,103744,93
All others 250/300/330 can 6 pk,19/03/2017,221481,121501,95
All others 250/300/330 can 6 pk,26/03/2017,193133,103526,95
All others 250/300/330 can 6 pk,02/04/2017,245373,130569,96
All others 250/300/330 can 6 pk,09/04/2017,248463,144950,96
All others 250/300/330 can 6 pk,16/04/2017,267246,143314,98
All others 250/300/330 can 6 pk,23/04/2017,271516,161155,99
All others 250/300/330 can 6 pk,30/04/2017,282911,161477,98
All others 250/300/330 can 6 pk,07/05/2017,252725,152219,98
All others 250/300/330 can 6 pk,14/05/2017,216616,116200,97
All others 250/300/330 can 6 pk,21/05/2017,257728,138181,97
All others 250/300/330 can 6 pk,28/05/2017,371525,196569,98
All others 250/300/330 can 6 pk,04/06/2017,254222,130536,97
All others 250/300/330 can 6 pk,11/06/2017,284677,164790,98
All others 250/300/330 can 6 pk,18/06/2017,362494,191480,98
All others 250/300/330 can 6 pk,25/06/2017,250257,128011,97
All others 250/300/330 can 6 pk,02/07/2017,281511,150596,95
All others 250/300/330 can 6 pk,09/07/2017,290257,152621,97
All others 250/300/330 can 6 pk,16/07/2017,268049,136875,97
All others 250/300/330 can 6 pk,23/07/2017,461924,262457,99
All others 250/300/330 can 6 pk,30/07/2017,300877,157000,98
All others 250/300/330 can 6 pk,06/08/2017,272178,141007,98
All others 250/300/330 can 6 pk,13/08/2017,327351,177579,98
All others 250/300/330 can 6 pk,20/08/2017,240929,143593,99
All others 250/300/330 can 6 pk,27/08/2017,234573,120896,98
All others 250/300/330 can 6 pk,03/09/2017,258022,137503,98
All others 250/300/330 can 6 pk,10/09/2017,271847,159309,96
All others 250/300/330 can 6 pk,17/09/2017,182519,96484,97
All others 250/300/330 can 6 pk,24/09/2017,201193,108336,97
All others 250/300/330 can 6 pk,01/10/2017,278264,165184,99
All others 250/300/330 can 6 pk,08/10/2017,170336,91682,96
All others 250/300/330 can 6 pk,15/10/2017,213355,114972,96
All others 250/300/330 can 6 pk,22/10/2017,205186,109745,96
All others 250/300/330 can 6 pk,29/10/2017,201862,109870,96
All others 250/300/330 can 6 pk,05/11/2017,250154,151403,98
All others 250/300/330 can 6 pk,12/11/2017,169027,90537,95
All others 250/300/330 can 6 pk,19/11/2017,156201,83168,95
All others 250/300/330 can 6 pk,26/11/2017,249866,135716,95
All others 250/300/330 can 6 pk,03/12/2017,177756,95663,96
All others 250/300/330 can 6 pk,10/12/2017,223054,136940,98
All others 250/300/330 can 6 pk,17/12/2017,157118,83501,96
All others 250/300/330 can 6 pk,24/12/2017,244010,141660,98
All others 250/300/330 can 6 pk,31/12/2017,217617,113275,96
All others 250/300/330 can 6 pk,07/01/2018,189729,101831,95
All others 250/300/330 can 6 pk,14/01/2018,164901,89697,95
All others 250/300/330 can 6 pk,21/01/2018,182447,99788,93
All others 250/300/330 can 6 pk,28/01/2018,256282,152542,98
All others 250/300/330 can 6 pk,04/02/2018,197334,105539,98
All others 250/300/330 can 6 pk,11/02/2018,287973,151489,97
All others 250/300/330 can 6 pk,18/02/2018,232867,135856,98
All others 250/300/330 can 6 pk,25/02/2018,228445,124028,95
All others 250/300/330 can 6 pk,04/03/2018,179405,97017,97
All others 250/300/330 can 6 pk,11/03/2018,168781,90608,95
All others 250/300/330 can 6 pk,18/03/2018,207338,132947,97
All others 250/300/330 can 6 pk,25/03/2018,188833,98265,97
All others 250/300/330 can 6 pk,01/04/2018,250845,127093,98
All others 250/300/330 can 6 pk,08/04/2018,234078,119908,96
All others 250/300/330 can 6 pk,15/04/2018,245731,133265,95
All others 250/300/330 can 6 pk,22/04/2018,248960,140756,95
All others 250/300/330 can 6 pk,29/04/2018,203391,104848,95
All others 250/300/330 can 6 pk,06/05/2018,274755,163820,99
All others 250/300/330 can 6 pk,13/05/2018,318815,179864,97
All others 250/300/330 can 6 pk,20/05/2018,215788,114121,96
All others 250/300/330 can 6 pk,27/05/2018,274878,140767,95
All others 250/300/330 can 6 pk,03/06/2018,233845,122190,96
All others 250/300/330 can 6 pk,10/06/2018,242839,130434,95
All others 250/300/330 can 6 pk,17/06/2018,277867,146740,97
All others 250/300/330 can 6 pk,24/06/2018,259731,137589,94
All others 250/300/330 can 6 pk,01/07/2018,341359,177390,97
All others 250/300/330 can 6 pk,08/07/2018,297431,158627,97
All others 250/300/330 can 6 pk,15/07/2018,306794,159154,95
All others 250/300/330 can 6 pk,22/07/2018,275300,141723,97
All others 250/300/330 can 6 pk,29/07/2018,336351,173191,97
All others 250/300/330 can 6 pk,05/08/2018,333340,197882,99
All others 250/300/330 can 6 pk,12/08/2018,306369,161817,98
All others 250/300/330 can 6 pk,19/08/2018,220083,116281,96
All others 250/300/330 can 6 pk,26/08/2018,272170,171368,98
